ACS,K,D,A,DDA,HS,KAST,FK,FD,MK,WIN
237,20,18,4,-5,0.24,0.77,1,2,2,1
136,10,11,6,9,0.17,0.82,0,0,0,1
288,31,14,1,89,0.27,0.75,1,1,5,1
222,20,18,14,28,0.21,0.75,2,1,1,1
222,21,20,11,1,0.26,0.75,1,1,2,1
194,19,21,3,-16,0.33,0.64,6,2,1,1
170,16,24,1,-93,0.22,0.50,8,0,0,1
328,28,22,6,86,0.33,0.86,5,4,3,0
206,20,20,3,3,0.25,0.71,3,3,2,0
190,18,26,7,-33,0.25,0.75,1,2,1,0
176,17,22,8,-20,0.28,0.75,6,3,2,0
124,11,17,10,-45,0.21,0.71,1,2,1,0
332,28,17,3,74,0.23,0.83,4,2,2,1
283,22,19,13,11,0.25,0.83,3,2,4,1
200,17,17,2,-19,0.35,0.65,5,3,2,1
146,12,16,4,-16,0.32,0.57,0,1,1,1
114,8,18,8,-76,0.07,0.57,1,2,0,1
381,29,21,8,61,0.36,0.87,2,2,7,0
271,22,17,3,37,0.31,0.70,0,0,2,0
251,20,18,3,9,0.33,0.65,7,3,1,0
143,11,17,6,-40,0.21,0.61,2,1,0,0
87,5,15,9,-41,0.12,0.70,1,0,0,0
302,30,20,12,52,0.21,0.79,1,0,3,0
271,27,23,1,-2,0.25,0.68,13,4,2,0
210,21,20,4,-10,0.32,0.68,3,3,2,0
123,11,25,7,-80,0.12,0.57,0,1,0,0
76,6,21,9,-84,0.32,0.57,0,3,0,0
359,35,17,8,101,0.24,0.71,3,5,7,1
246,24,18,4,43,0.20,0.64,2,2,3,1
219,21,19,11,22,0.18,0.71,1,4,0,1
158,15,20,7,-13,0.22,0.64,2,3,1,1
137,11,19,0,-30,0.21,0.50,3,1,1,1
244,20,17,2,2,0.36,0.61,4,1,3,0
243,19,18,8,-5,0.19,0.74,2,0,0,0
203,16,18,3,-1,0.33,0.87,4,3,0,0
183,15,18,2,-24,0.27,0.48,2,5,3,0
182,15,15,7,-6,0.33,0.74,1,2,1,0
309,24,18,3,73,0.19,0.74,1,6,5,1
245,21,17,3,23,0.20,0.74,6,4,2,1
187,16,16,4,0,0.38,0.65,1,2,0,1
186,15,15,2,2,0.22,0.74,1,1,2,1
132,9,18,8,-64,0.18,0.70,3,1,1,1
328,23,14,5,91,0.31,0.81,6,4,1,1
274,24,13,1,60,0.38,0.86,0,1,2,1
250,17,14,15,18,0.28,0.81,5,1,1,1
175,13,11,10,-4,0.26,0.76,1,1,0,1
168,12,11,7,19,0.24,0.71,0,2,0,1
239,17,19,8,-29,0.38,0.67,2,0,0,0
173,13,19,2,-31,0.21,0.57,2,0,0,0
167,12,15,4,-21,0.19,0.52,0,2,0,0
165,10,18,6,-46,0.21,0.71,4,0,0,0
158,11,18,3,-56,0.18,0.52,1,1,1,0
298,26,13,0,78,0.33,0.83,3,0,1,1
244,23,17,2,45,0.43,0.75,3,4,0,1
198,17,17,7,12,0.31,0.79,0,1,1,1
161,14,19,3,-37,0.29,0.62,5,6,1,1
125,10,14,9,-22,0.23,0.67,2,0,0,1
306,23,20,5,35,0.19,0.62,7,8,3,0
244,20,21,7,-12,0.24,0.67,3,0,2,0
170,14,18,6,-35,0.20,0.58,2,1,0,0
